            ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
    Tlag_pop;   0.77760;   0.18519;     23.82;        NaN
      ka_pop;   1.23760;   0.34029;     27.50;        NaN
       V_pop;   8.07655;   0.22638;      2.80;        NaN
 beta_V_lw70;   0.89744;   0.14299;     15.93; 3.4649e-10
      Cl_pop;   0.13398;   0.00649;      4.84;        NaN
beta_Cl_lw70;   0.59439;   0.25703;     43.24;   0.020749
    Imax_pop;   0.76271;   0.01226;      1.61;        NaN
    IC50_pop;   0.18747;   0.05384;     28.72;        NaN
      S0_pop;  95.17567;   1.53446;      1.61;        NaN
  omega_Tlag;   0.56595;   0.17734;     31.34;        NaN
    omega_ka;   0.75578;   0.21979;     29.08;        NaN
     omega_V;   0.13804;   0.02223;     16.10;        NaN
    omega_Cl;   0.26743;   0.03468;     12.97;        NaN
  omega_Imax;   0.09472;   0.11679;    123.30;        NaN
  omega_IC50;   0.92653;   0.21037;     22.71;        NaN
    omega_S0;   0.02044;   0.04486;    219.49;        NaN
          a1;   0.24670;   0.04455;     18.06;        NaN
          b1;   0.05987;   0.00914;     15.27;        NaN
          a2;   8.35416;   0.45416;      5.44;        NaN
