iteration,convergenceIndicator,phase,Base_pop,EC50_pop,Emax_pop,gamma_pop,omega_Base,omega_EC50,omega_Emax,omega_gamma,a,b
1,33005,1,1,1,1,1,1,1,1,1,1,0.3
2,23685.3,1,37.312,1.05544,1.02354,0.966402,0.974679,1.07552,1.55221,1.10484,2.22045e-16,0.678081
3,18999.9,1,39.7598,1.12286,0.55719,0.965965,0.95,1.09761,1.51291,1.09709,2.22045e-16,0.667439
4,18245.8,1,41.2838,1.28107,0.462535,0.939485,0.925945,1.07658,1.4746,1.1702,2.10942e-16,0.634067
5,17914.4,1,41.0094,1.29664,0.416115,0.985405,0.9025,1.04932,1.43727,1.16894,2.00395e-16,0.602364
6,17725.3,1,42.0624,1.28603,0.408095,0.868673,0.879648,1.10601,1.40087,1.20418,1.90375e-16,0.572246
7,17653.9,1,42.1142,1.24995,0.39827,0.862931,0.857375,1.14259,1.3654,1.17369,1.80857e-16,0.543633
8,17470.5,1,43.0353,1.25936,0.359949,0.838961,0.835666,1.11366,1.33083,1.14397,1.71814e-16,0.516452
9,17508.6,1,44.2668,1.28473,0.365504,0.843246,0.814506,1.22031,1.29713,1.16524,1.63223e-16,0.490629
10,17388.9,1,45.7151,1.37689,0.383398,0.837198,0.793882,1.30068,1.26429,1.16294,1.55062e-16,0.466098
11,17391.6,1,46.7612,1.29914,0.381046,0.786316,0.773781,1.31086,1.23228,1.21615,0.378348,0.437972
12,17339.6,1,47.0732,1.36403,0.372047,0.683517,0.754188,1.28853,1.20107,1.19091,0.426664,0.429961
13,17320.3,1,47.3577,1.2256,0.376171,0.650759,0.735092,1.35946,1.17066,1.2029,0.697572,0.422323
14,17296.3,1,48.1137,1.27901,0.386112,0.612774,0.716479,1.4184,1.14102,1.17244,0.931257,0.407988
15,17219.3,1,47.4572,1.27537,0.407688,0.624383,0.698337,1.53561,1.11213,1.14275,0.76252,0.41432
16,17276.3,1,48.5876,1.33838,0.424923,0.60929,0.680655,1.69002,1.08397,1.11382,0.878319,0.406039
17,17264.7,1,48.4251,1.5289,0.449124,0.635147,0.66342,1.82441,1.05652,1.12891,1.18907,0.390225
18,17229.3,1,50.1682,1.75637,0.465153,0.564846,0.646622,1.87914,1.02977,1.10033,1.13302,0.388626
19,17152.3,1,49.9113,2.15236,0.468365,0.542091,0.630249,1.92572,1.0037,1.07247,1.32908,0.373973
20,17103,1,49.3025,2.14279,0.493238,0.516235,0.614291,2.05241,0.978282,1.04531,1.27534,0.380186
21,17103.9,1,50.6264,2.66574,0.499085,0.533222,0.598737,2.05163,0.953512,1.04717,1.18961,0.377958
22,16944.6,1,50.4709,3.05702,0.502378,0.574111,0.583577,2.12549,0.929368,1.02065,1.01461,0.379816
23,16891.5,1,51.2551,4.01769,0.513621,0.563167,0.5688,2.21103,0.905836,0.994809,1.14365,0.367825
24,16771.1,1,51.9705,4.80463,0.531184,0.630474,0.554398,2.25861,0.8829,0.96962,1.224,0.35654
25,16773.5,1,53.0596,6.8327,0.544861,0.644103,0.54036,2.40161,0.860544,0.96299,1.32842,0.347449
26,16694.7,1,53.8456,8.53267,0.559236,0.644601,0.547401,2.44976,0.838755,0.972351,1.38577,0.330605
27,16644.3,1,53.8911,12.0422,0.601657,0.682643,0.546037,2.53913,0.817517,1.01825,1.40441,0.326491
28,16482.8,1,54.2237,17.1294,0.646285,0.721974,0.54558,2.49027,0.796817,1.03672,1.53187,0.312353
29,16424.1,1,54.4154,20.6529,0.645912,0.781398,0.533757,2.59559,0.776641,1.03387,1.62069,0.304857
30,16276.3,1,54.0606,33.9008,0.684601,0.796269,0.520242,2.57043,0.756976,1.0357,1.60793,0.295951
31,16127.5,1,54.0663,35.3348,0.730232,0.838825,0.515871,2.51128,0.737809,1.02846,1.45287,0.295946
32,16072.3,1,54.0042,38.4261,0.724962,0.800419,0.502809,2.4477,0.719127,1.00242,1.39534,0.297779
33,15953.3,1,54.2756,45.1286,0.726611,0.850174,0.5064,2.38572,0.700919,0.977041,1.54206,0.286922
34,15797.6,1,55.6869,51.3708,0.769762,0.89818,0.507296,2.32531,0.683171,0.965521,1.53659,0.273387
35,15686.9,1,55.7089,62.9961,0.816059,0.924271,0.51058,2.26643,0.665873,0.96284,1.4556,0.270086
36,15625.9,1,56.4403,76.9437,0.820102,0.930672,0.510917,2.20904,0.649012,0.99801,1.50399,0.25729
37,15509.9,1,56.0382,104.998,0.817532,1.05275,0.520844,2.26411,0.632579,1.02128,1.74332,0.23862
38,15446.9,1,56.7426,96.4615,0.814619,0.993884,0.537666,2.20678,0.616562,0.995419,1.79981,0.232605
39,15358.7,1,55.6319,106.951,0.84056,1.00587,0.524052,2.17511,0.60095,0.970214,1.9193,0.229073
40,15274.3,1,56.7245,109.903,0.869966,1.04098,0.528542,2.12303,0.585734,0.975874,1.94588,0.221933
41,15152.2,1,55.3262,128.849,0.849478,1.04422,0.520537,2.07519,0.570903,0.951164,1.87041,0.220759
42,15075,1,55.7964,133.813,0.849061,1.16569,0.5113,2.02264,0.556447,0.960241,1.57886,0.228058
43,15058.6,1,55.5591,153.09,0.850899,1.18672,0.515833,1.97143,0.542357,0.964472,1.44528,0.234136
44,14992.9,1,55.9799,174.313,0.822757,1.21149,0.511995,1.92151,0.528625,0.991579,1.5605,0.223634
