              ; parameter;  s.e._lin;r.s.e._lin;pvalues_lin
        ka_pop;   0.28854;   0.02110;      7.31;        NaN
         V_pop;   2.28602;   0.12884;      5.64;        NaN
   beta_V_tWT0;   0.18140;   0.13391;     73.82;    0.17552
        Cl_pop;   0.31399;   0.02596;      8.27;        NaN
  beta_Cl_tWT0;  -0.16148;   0.21977;    136.09;    0.46247
 beta_Cl_tAGE0;  -0.05719;   0.08021;    140.27;    0.47589
 beta_Cl_SEX_0;   0.00000;       NaN;       NaN;        NaN
 beta_Cl_SEX_1;  -0.10060;   0.07866;     78.18;    0.20089
beta_Cl_STUD_1;   0.00000;       NaN;       NaN;        NaN
beta_Cl_STUD_2;   0.12207;   0.07197;     58.96;   0.089852
      omega_ka;   0.10024;   0.07473;     74.55;        NaN
       omega_V;   0.03939;   0.11026;    279.91;        NaN
      omega_Cl;   0.22485;   0.02578;     11.46;        NaN
             b;   0.28986;   0.00968;      3.34;        NaN
